r,g,b,r_new,g_new,b_new
48,224,0,222,183,48
48,224,16,224,183,70
48,224,32,219,183,85
48,224,48,220,183,70
48,224,64,220,184,78
48,224,80,216,184,115
48,224,96,216,184,112
48,224,112,216,187,124
48,224,128,207,187,149
48,224,144,207,187,156
48,224,160,207,191,169
48,224,176,207,191,182
48,224,192,193,192,197
48,224,208,191,196,210
48,224,224,191,196,227
48,224,240,172,199,242
48,240,0,254,194,116
48,240,16,251,194,101
48,240,32,254,195,92
48,240,48,253,194,116
48,240,64,252,195,118
48,240,80,253,196,108
48,240,96,253,196,132
48,240,112,252,197,141
48,240,128,252,197,147
48,240,144,252,200,154
48,240,160,251,202,170
48,240,176,251,202,186
48,240,192,249,206,200
48,240,208,247,210,215
48,240,224,247,210,231
48,240,240,228,209,241
64,0,0,43,26,0
64,0,16,41,26,15
64,0,32,32,30,31
64,0,48,32,30,45
64,0,64,24,30,60
64,0,80,16,63,79
64,0,96,16,63,96
64,0,112,0,63,112
64,0,128,9,93,124
64,0,144,9,93,140
64,0,160,0,93,156
64,0,176,0,93,168
64,0,192,0,118,181
64,0,208,0,118,194
64,0,224,0,118,204
64,0,240,0,139,214
64,16,0,46,38,0
64,16,16,45,38,15
64,16,32,35,41,30
64,16,48,35,41,45
64,16,64,30,43,61
64,16,80,22,63,80
64,16,96,20,63,97
64,16,112,0,71,112
64,16,128,16,86,125
64,16,144,16,86,141
64,16,160,0,101,156
64,16,176,0,101,170
64,16,192,0,109,181
64,16,208,0,125,194
64,16,224,0,125,206
64,16,240,0,132,214
64,32,0,63,49,9
64,32,16,62,49,21
64,32,32,59,50,32
64,32,48,59,50,48
64,32,64,50,53,62
64,32,80,16,57,78
64,32,96,16,57,95
64,32,112,0,71,110
64,32,128,9,81,125
64,32,144,9,81,143
64,32,160,0,102,158
64,32,176,0,102,170
64,32,192,0,109,183
64,32,208,0,127,196
64,32,224,0,127,206
64,32,240,0,132,216
64,48,0,63,47,9
64,48,16,62,47,21
64,48,32,59,49,32
64,48,48,59,49,48
64,48,64,50,50,62
64,48,80,16,59,78
64,48,96,16,59,95
64,48,112,0,61,110
64,48,128,9,91,125
64,48,144,9,91,143
64,48,160,0,94,158
64,48,176,0,94,170
64,48,192,0,118,183
64,48,208,0,121,196
64,48,224,0,121,206
64,48,240,0,139,216
64,64,0,77,59,9
64,64,16,76,59,23
64,64,32,72,60,38
64,64,48,72,60,49
64,64,64,69,62,64
64,64,80,31,68,80
64,64,96,31,68,95
64,64,112,22,71,111
64,64,128,28,95,128
64,64,144,28,95,144
64,64,160,0,99,160
64,64,176,0,99,175
64,64,192,22,116,184
64,64,208,0,126,197
64,64,224,0,126,211
64,64,240,0,134,219
64,80,0,105,77,23
64,80,16,104,77,31
64,80,32,102,77,35
64,80,48,102,77,52
64,80,64,97,80,66
64,80,80,92,79,80
64,80,96,92,79,98
64,80,112,72,90,113
64,80,128,65,87,127
64,80,144,65,87,144
64,80,160,50,108,159
64,80,176,50,108,172
64,80,192,0,106,189
64,80,208,0,128,203
64,80,224,0,129,212
64,80,240,0,133,224
64,96,0,105,83,23
64,96,16,104,83,31
64,96,32,102,84,35
64,96,48,102,84,52
64,96,64,97,85,66
64,96,80,92,88,80
64,96,96,92,88,98
64,96,112,72,91,113
64,96,128,65,96,127
64,96,144,65,96,144
64,96,160,50,101,159
64,96,176,50,101,172
64,96,192,0,116,189
64,96,208,0,123,203
64,96,224,0,123,212
64,96,240,0,140,224
64,112,0,126,95,23
64,112,16,127,95,34
64,112,32,125,96,47
64,112,48,124,96,54
64,112,64,123,96,68
64,112,80,116,99,85
64,112,96,116,99,99
64,112,112,111,101,114
64,112,128,92,106,130
64,112,144,92,107,146
64,112,160,83,109,161
64,112,176,83,107,177
64,112,192,38,124,190
64,112,208,21,127,205
64,112,224,21,127,222
64,112,240,33,145,227
64,128,0,153,114,0
64,128,16,153,115,17
64,128,32,154,111,44
64,128,48,153,111,57
64,128,64,150,114,71
